Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1144,Cyb3rSecurtyFundamentals,134.0,3724.0,188.02,26.0,9.0,0.047,1891.0,2024-11-07,Mumbai,Desktop,online data analytic
A1145,BusinessAnlyticsClass,174.0,4838.0,242.35,21.0,3.0,0.017,1599.0,2024-11-22,Pune,Desktop,data analitics online
A1146,CloudComputngCourse1,196.0,4524.0,192.01,15.0,8.0,0.041,1048.0,2024-11-13,Mumbai,Desktop,data analytics course
A1147,MachneLearningBasics,194.0,4694.0,228.15,17.0,7.0,0.036,1874.0,2024-11-14,Mumbai,Tablet,learn data analytics
A1148,W3bDevMastery,180.0,4326.0,221.67,13.0,7.0,0.0495,1427.0,2024-11-06,Delhi,Tablet,online data analytic
A1149,pYTHON4dATA,100.0,4235.0,222.61,10.0,8.0,0.051,1814.0,2024-11-01,Pune,Desktop,data anaytics training
A1150,AI_Mark3ting101,153.0,4367.0,184.51,29.0,9.0,0.059,1507.0,2024-11-13,Chennai,Mobile,analytics for data
A1151,Cl0udComputngCourse,110.0,3748.0,198.68,24.0,9.0,0.082,1041.0,2024-11-05,Bangalore,Tablet,data anaytics training
A1152,DeepLe@rnngPro,116.0,3901.0,217.04000000000002,21.0,4.0,0.034,1483.0,2024-11-13,Pune,Tablet,online data analytic
A1153,mACHNElEARNINGbASICS,156.0,3335.0,236.98,29.0,7.0,0.045,1143.0,2024-11-14,Bangalore,Desktop,data analytics course
A1154,Sqldatabsetraining,177.0,5671.0,210.74,19.0,6.0,0.058,1172.0,2024-11-25,Chennai,Tablet,data analytics course
A1155,MachneLearningBasics,89.0,3408.0,214.78,25.0,9.0,0.09122252747252749,1898.0,2024-11-15,Chennai,Mobile,data analytics course
A1156,SQLDatabseTraining,155.0,4422.0,183.96,14.0,8.0,0.037,1143.0,2024-11-15,Mumbai,Mobile,analytics for data
A1157,CyberSecurtyFund@mentals,123.0,3097.0,190.55,20.0,8.0,0.065,1640.0,2024-11-22,Delhi,Tablet,data analytics course
A1158,Machn3LearningBasics,102.0,3621.0,244.82,10.0,5.0,0.049,1375.0,2024-11-12,Chennai,Mobile,learn data analytics
A1159,SQLD@tabseTraining,150.0,4806.0,244.53,15.0,9.0,0.06,1602.0,2024-11-07,Pune,Mobile,data analitics online
A1160,Python4data,160.0,4297.0,245.87,11.0,6.0,0.037,1510.0,2024-11-05,Bangalore,Desktop,analytics for data
A1161,CloudComputngCourse,143.0,3901.0,191.38,29.0,4.0,0.053,1786.0,2024-11-24,Mumbai,Mobile,learn data analytics
A1162,CloudComputngCourse1,178.0,4673.0,222.46,29.0,6.0,0.051,1219.0,2024-11-04,Bangalore,Tablet,online data analytic
A1163,SQLDatabs3Training,152.0,3542.0,208.96,13.0,9.0,0.05921052631578947,1735.0,2024-11-13,Pune,Desktop,data analytics course
A1164,Sqldatabsetraining,139.0,4347.0,238.19,26.0,5.0,0.03597122302158273,1384.0,2024-11-13,Mumbai,Tablet,analytics for data
A1165,Cl0udComputngCourse,175.0,5014.0,247.24,25.0,7.0,0.04,1499.0,2024-11-15,Mumbai,Mobile,learn data analytics
A1166,Datasciencebootcamp,92.0,4185.0,218.46,21.0,9.0,0.035,1567.0,2024-11-03,Pune,Mobile,data analitics online
A1167,MachneLearningBasics1,123.0,5964.0,220.13,17.0,6.0,0.04878048780487805,1363.0,2024-11-03,Chennai,Desktop,data anaytics training
A1168,Cl0udComputngCourse,86.0,5124.0,183.71,13.0,10.0,0.09122252747252749,1137.0,2024-11-20,Bangalore,Mobile,data anaytics training
A1169,Ai_marketing101,117.0,4162.0,238.08,28.0,10.0,0.085,1186.0,2024-11-22,Delhi,Mobile,online data analytic
A1170,DeepLe@rnngPro,146.0,4330.0,191.9,20.0,3.0,0.021,1748.0,2024-11-09,Chennai,Mobile,online data analytic
A1171,Python4Data_,89.0,3268.0,212.245,17.0,4.0,0.045,1233.0,2024-11-13,Pune,Desktop,online data analytic
A1172,Deeplearnngpro,195.0,3483.0,213.99,27.0,7.0,0.036,1796.0,2024-11-23,Mumbai,Desktop,learn data analytics
A1173,DeepLe@rnngPro,170.0,4519.0,240.63,22.0,7.0,0.041,1012.0,2024-11-27,Chennai,Mobile,analytics for data
A1174,Python4Data,97.0,3605.0,240.29,21.0,7.0,0.045,1682.0,2024-11-10,Mumbai,Desktop,data analitics online
A1175,Busin3ssAnlyticsClass,159.0,5076.0,204.97,15.0,10.0,0.063,1638.0,2024-11-17,Mumbai,Tablet,data analytics course
A1176,dEEPlEARNNGpRO,131.0,5352.0,225.86,24.0,10.0,0.07633587786259542,1961.0,2024-11-20,Chennai,Mobile,online data analytic
A1177,D@taScienceBootcamp,108.0,5503.0,185.26,11.0,7.0,0.065,1921.0,2024-11-06,Delhi,Mobile,data analitics online
A1178,W3bDevMastery,93.0,4308.0,209.83,19.0,9.0,0.09122252747252749,1694.0,2024-11-20,Chennai,Mobile,data analytics course
A1179,Deeplearnngpro,137.0,3555.0,213.5,29.0,3.0,0.021897810218978103,1488.5,2024-11-06,Mumbai,Desktop,data analytics course
A1180,Cloudcomputngcourse,81.0,5615.0,193.14,30.0,6.0,0.074,1255.0,2024-11-28,New Delhi,Mobile,analytics for data
A1181,AI_M@rketing101,160.0,4743.0,206.22,23.0,10.0,0.062,1825.0,2024-11-20,Chennai,Mobile,learn data analytics
A1182,BusinessAnlyticsCl@ss,186.0,3337.0,183.58,16.0,8.0,0.043,1045.0,2024-11-30,Bangalore,Desktop,online data analytic
A1183,sqldATABSEtRAINING,105.0,3234.0,238.8,27.0,10.0,0.09122252747252749,1248.0,2024-11-06,Bangalore,Desktop,online data analytic
A1184,Cybersecurtyfundamentals,131.0,3913.0,203.69,14.0,10.0,0.07633587786259542,1079.0,2024-11-25,Delhi,Desktop,data anaytics training
A1185,Webdevmastery,129.0,3208.0,204.2,18.0,8.0,0.032,1456.0,2024-11-29,New Delhi,Desktop,learn data analytics
A1186,AI_Marketing101_,187.0,5972.0,220.64,30.0,7.0,0.037,1980.0,2024-11-14,Pune,Desktop,data analytics course
A1187,Machnelearningbasics,167.0,3662.0,235.43,10.0,7.0,0.042,1684.0,2024-11-25,Mumbai,Mobile,data anaytics training
A1188,BusinessAnlyticsClass,140.0,3359.0,182.13,29.0,7.0,0.045,1973.0,2024-11-28,Chennai,Desktop,data analitics online
A1189,mACHNElEARNINGbASICS,198.0,3700.0,220.67,14.0,5.0,0.025252525252525252,1531.0,2024-11-10,Bangalore,Mobile,analytics for data
A1190,Cyb3rSecurtyFundamentals,196.0,3835.0,218.07,10.0,9.0,0.041,1871.0,2024-11-04,Chennai,Tablet,online data analytic
A1191,DataScienceBootcamp1,140.0,5638.0,208.02,22.0,5.0,0.03571428571428571,1652.0,2024-11-18,Mumbai,Desktop,data anaytics training
A1192,Sqldatabsetraining,157.0,5825.0,230.6,16.0,3.0,0.019,1041.0,2024-11-16,Pune,Desktop,data anaytics training
A1193,ai_mARKETING101,91.0,5428.0,248.38,11.0,3.0,0.033,1835.0,2024-11-22,New Delhi,Tablet,learn data analytics
A1194,DataScienceB0otcamp,140.0,3571.0,238.12,21.0,9.0,0.064,1762.0,2024-11-16,Pune,Desktop,learn data analytics
A1195,BusinessAnlyticsClass,154.0,3638.0,182.17,11.0,8.0,0.056,1413.0,2024-11-04,Pune,Mobile,online data analytic
